Date,High,Low,Open,Close,Volume,Adj Close
2020-06-04,42.0,32.099998474121094,40.0,34.0,24801800,34.0
2020-06-05,40.0,34.599998474121094,36.5,38.88999938964844,9110700,38.88999938964844
2020-06-08,47.900001525878906,40.65999984741211,41.900001525878906,44.689998626708984,9020300,44.689998626708984
2020-06-09,51.75,44.70000076293945,46.93000030517578,50.0,9200600,50.0
2020-06-10,64.4000015258789,50.06999969482422,59.220001220703125,50.29999923706055,18098700,50.29999923706055
2020-06-11,49.81999969482422,44.5,48.09000015258789,49.5,10137800,49.5
2020-06-12,55.650001525878906,48.95000076293945,54.720001220703125,51.220001220703125,5284200,51.220001220703125
2020-06-15,51.20000076293945,48.75,49.849998474121094,49.970001220703125,2744100,49.970001220703125
2020-06-16,52.400001525878906,46.93000030517578,52.0,48.38999938964844,4031900,48.38999938964844
2020-06-17,48.5,43.25,48.5,43.5099983215332,4158100,43.5099983215332
2020-06-18,46.900001525878906,43.77000045776367,44.0,45.75,2816600,45.75
2020-06-19,47.310001373291016,43.790000915527344,47.20000076293945,45.369998931884766,2366100,45.369998931884766
2020-06-22,50.5,44.0,45.25,49.40999984741211,4158900,49.40999984741211
2020-06-23,51.75,49.02000045776367,50.95000076293945,49.68000030517578,2604600,49.68000030517578
2020-06-24,51.68000030517578,47.220001220703125,49.25,50.97999954223633,2461200,50.97999954223633
2020-06-25,54.599998474121094,49.70000076293945,50.90999984741211,53.189998626708984,2843600,53.189998626708984
2020-06-26,55.0,50.220001220703125,53.9900016784668,51.56999969482422,2546200,51.56999969482422
2020-06-29,51.98899841308594,47.0,51.5099983215332,50.720001220703125,2386800,50.720001220703125
2020-06-30,51.400001525878906,48.470001220703125,51.22999954223633,51.029998779296875,1729400,51.029998779296875
2020-07-01,50.81999969482422,48.20000076293945,50.810001373291016,48.400001525878906,1652300,48.400001525878906
2020-07-02,49.529998779296875,44.779998779296875,49.47999954223633,45.04999923706055,4063600,45.04999923706055
2020-07-06,47.650001525878906,44.5,46.0,45.9900016784668,2462200,45.9900016784668
2020-07-07,46.08000183105469,44.90999984741211,45.5,45.13999938964844,837100,45.13999938964844
2020-07-08,45.525001525878906,43.75,45.5,44.2599983215332,1396100,44.2599983215332
2020-07-09,44.900001525878906,42.130001068115234,44.88999938964844,44.689998626708984,2432800,44.689998626708984
2020-07-10,44.599998474121094,43.0,44.040000915527344,43.709999084472656,1053600,43.709999084472656
2020-07-13,44.04999923706055,39.06999969482422,44.0,40.33000183105469,3214900,40.33000183105469
2020-07-14,40.95000076293945,38.79999923706055,39.9900016784668,39.9900016784668,1750600,39.9900016784668
